sample,box,label,status,note,start_new_york,end_new_york,box_bars,box_duration_min,box_range_pips,box_bb_width_median,first_close_break_dir,first_close_break_min,first_1r_target_dir,first_1r_target_min,max_up_r_30m,max_down_r_30m,max_extension_r_30m,realized_range_r_30m,bb_expand_ratio_30m,hit_0.75r_30m,hit_1.00r_30m,hit_1.50r_30m,hit_2.00r_30m,max_up_r_60m,max_down_r_60m,max_extension_r_60m,realized_range_r_60m,bb_expand_ratio_60m,hit_0.75r_60m,hit_1.00r_60m,hit_1.50r_60m,hit_2.00r_60m,max_up_r_90m,max_down_r_90m,max_extension_r_90m,realized_range_r_90m,bb_expand_ratio_90m,hit_0.75r_90m,hit_1.00r_90m,hit_1.50r_90m,hit_2.00r_90m,max_up_r_120m,max_down_r_120m,max_extension_r_120m,realized_range_r_120m,bb_expand_ratio_120m,hit_0.75r_120m,hit_1.00r_120m,hit_1.50r_120m,hit_2.00r_120m,dominant_dir_120m,first_break_headfake_120m
54,3,random_control,accepted,same-window random duration control,2024-02-07 08:05 EST,2024-02-07 08:50 EST,10,50,17.3,20.4,down,120.0,,,0.0,0.0,0.0,0.642,1.12,False,False,False,False,0.0,0.069,0.069,0.728,1.317,False,False,False,False,0.0,0.133,0.133,0.792,1.317,False,False,False,False,0.0,0.266,0.266,1.035,1.939,False,False,False,False,down,False
54,4,random_control,accepted,same-window random duration control,2024-02-07 09:55 EST,2024-02-07 10:50 EST,12,60,17.9,19.69,down,5.0,,,0.0,0.352,0.352,0.542,3.116,False,False,False,False,0.0,0.352,0.352,0.782,3.116,False,False,False,False,0.0,0.352,0.352,0.866,3.116,False,False,False,False,0.0,0.352,0.352,0.866,3.116,False,False,False,False,down,False
55,1,compression,questionable,questionable confidence downgrade,2021-09-30 13:40 EST,2021-09-30 14:30 EST,11,55,9.0,16.79,up,5.0,up,25.0,1.444,0.0,1.444,1.656,1.875,True,True,False,False,1.889,0.0,1.889,2.1,1.875,True,True,True,False,1.889,0.0,1.889,2.1,1.875,True,True,True,False,1.889,0.0,1.889,2.1,1.875,True,True,True,False,up,False
55,2,compression,accepted,correct,2021-09-30 17:20 EST,2021-09-30 18:15 EST,12,60,4.8,4.33,down,55.0,down,90.0,0.0,0.0,0.0,0.354,1.272,False,False,False,False,0.0,0.729,0.729,1.229,3.294,False,False,False,False,0.0,1.146,1.146,1.646,3.294,True,True,False,False,0.0,1.938,1.938,2.438,3.294,True,True,True,False,down,False
55,3,compression,accepted,correct,2021-09-30 19:30 EST,2021-09-30 20:25 EST,12,60,7.6,6.43,down,20.0,,,0.0,0.605,0.605,1.118,2.593,False,False,False,False,0.0,0.895,0.895,1.408,3.516,True,False,False,False,0.0,0.895,0.895,1.697,4.038,True,False,False,False,0.0,0.895,0.895,1.868,4.038,True,False,False,False,down,False
55,4,compression,accepted,correct,2021-09-30 21:55 EST,2021-09-30 22:50 EST,12,60,7.6,10.68,,,,,0.0,0.0,0.0,0.263,0.69,False,False,False,False,0.0,0.0,0.0,0.263,0.69,False,False,False,False,0.0,0.0,0.0,0.263,0.69,False,False,False,False,0.0,0.0,0.0,0.263,0.69,False,False,False,False,,False
55,1,random_control,questionable,same-window random duration control,2021-09-30 11:50 EST,2021-09-30 12:40 EST,11,55,17.6,25.13,,,,,0.0,0.0,0.0,0.375,0.721,False,False,False,False,0.0,0.0,0.0,0.761,1.305,False,False,False,False,0.0,0.0,0.0,0.886,1.305,False,False,False,False,0.0,0.0,0.0,0.898,1.305,False,False,False,False,,False
55,2,random_control,accepted,same-window random duration control,2021-09-30 11:10 EST,2021-09-30 12:05 EST,12,60,27.2,29.22,down,5.0,,,0.0,0.301,0.301,0.548,1.401,False,False,False,False,0.0,0.301,0.301,0.548,1.401,False,False,False,False,0.0,0.301,0.301,0.596,1.401,False,False,False,False,0.0,0.301,0.301,0.596,1.401,False,False,False,False,down,False
55,3,random_control,accepted,same-window random duration control,2021-09-30 11:45 EST,2021-09-30 12:40 EST,12,60,18.0,26.34,,,,,0.0,0.0,0.0,0.367,0.688,False,False,False,False,0.0,0.0,0.0,0.744,1.245,False,False,False,False,0.0,0.0,0.0,0.867,1.245,False,False,False,False,0.0,0.0,0.0,0.878,1.245,False,False,False,False,,False
55,4,random_control,accepted,same-window random duration control,2021-09-30 12:20 EST,2021-09-30 13:15 EST,12,60,11.5,15.93,down,25.0,,,0.026,0.139,0.139,1.165,2.058,False,False,False,False,0.026,0.348,0.348,1.374,2.058,False,False,False,False,0.026,0.348,0.348,1.374,2.058,False,False,False,False,0.913,0.348,0.913,2.261,2.058,True,False,False,False,up,True
56,1,compression,accepted,correct,2022-08-28 23:15 EST,2022-08-29 00:10 EST,12,60,6.6,6.81,down,20.0,down,35.0,0.0,0.955,0.955,1.682,2.888,True,False,False,False,0.0,1.106,1.106,1.833,2.888,True,True,False,False,0.0,1.106,1.106,1.833,2.888,True,True,False,False,1.121,1.106,1.121,3.227,5.381,True,True,False,False,up,True
56,2,compression,accepted,correct,2022-08-29 00:35 EST,2022-08-29 01:20 EST,10,50,6.3,10.15,up,30.0,up,45.0,0.349,0.0,0.349,0.952,1.289,False,False,False,False,2.381,0.0,2.381,2.984,3.611,True,True,True,True,3.714,0.0,3.714,4.317,3.611,True,True,True,True,4.73,0.0,4.73,5.333,3.611,True,True,True,True,up,False
56,3,compression,accepted,missed marginal shelf around 0400,2022-08-29 03:35 EST,2022-08-29 04:05 EST,7,35,12.0,21.59,down,5.0,down,25.0,0.0,1.25,1.25,1.317,2.119,True,True,False,False,0.0,1.25,1.25,1.983,2.119,True,True,False,False,1.367,1.25,1.367,3.617,3.062,True,True,False,False,1.617,1.25,1.617,3.867,3.062,True,True,True,False,up,True
56,1,random_control,accepted,same-window random duration control,2022-08-29 07:35 EST,2022-08-29 08:30 EST,12,60,47.7,47.0,up,15.0,,,0.197,0.0,0.197,0.545,2.0,False,False,False,False,0.197,0.0,0.197,0.713,2.0,False,False,False,False,0.197,0.0,0.197,0.713,2.0,False,False,False,False,0.197,0.0,0.197,0.713,2.0,False,False,False,False,up,False
56,2,random_control,accepted,same-window random duration control,2022-08-29 02:30 EST,2022-08-29 03:15 EST,10,50,16.9,28.75,down,55.0,,,0.118,0.0,0.118,1.006,1.151,False,False,False,False,0.118,0.343,0.343,1.462,1.592,False,False,False,False,0.118,0.704,0.704,1.822,1.592,False,False,False,False,0.497,0.704,0.704,2.201,2.106,False,False,False,False,down,False
56,3,random_control,accepted,same-window random duration control,2022-08-29 07:45 EST,2022-08-29 08:15 EST,7,35,20.0,42.14,up,5.0,up,30.0,1.46,0.0,1.46,2.12,2.591,True,True,False,False,1.46,0.0,1.46,2.12,2.591,True,True,False,False,1.46,0.0,1.46,2.12,2.591,True,True,False,False,1.46,0.0,1.46,2.12,2.591,True,True,False,False,up,False
57,1,compression,accepted,all correct,2021-12-27 00:35 EST,2021-12-27 01:30 EST,12,60,4.1,4.18,up,5.0,up,55.0,0.683,0.0,0.683,0.927,4.197,False,False,False,False,1.61,0.0,1.61,1.854,4.407,True,True,True,False,4.195,0.0,4.195,4.439,4.984,True,True,True,True,4.195,0.0,4.195,4.61,7.654,True,True,True,True,up,False
57,2,compression,accepted,all correct,2021-12-27 01:50 EST,2021-12-27 02:20 EST,7,35,4.2,7.89,up,5.0,up,15.0,1.952,0.0,1.952,2.143,2.641,True,True,True,False,3.333,0.0,3.333,3.762,3.357,True,True,True,True,3.333,1.476,3.333,5.81,4.055,True,True,True,True,3.333,3.19,3.333,7.524,4.055,True,True,True,True,up,False
57,3,compression,accepted,all correct,2021-12-27 04:10 EST,2021-12-27 04:50 EST,9,45,6.7,10.31,up,15.0,up,15.0,1.09,0.0,1.09,1.896,3.049,True,True,False,False,1.731,0.0,1.731,2.537,3.049,True,True,True,False,1.731,0.0,1.731,2.537,3.049,True,True,True,False,1.731,0.0,1.731,2.537,3.049,True,True,True,False,up,False
57,4,compression,accepted,all correct,2021-12-27 08:10 EST,2021-12-27 09:00 EST,11,55,5.3,7.08,up,15.0,up,20.0,1.396,0.0,1.396,2.075,2.852,True,True,False,False,3.245,0.0,3.245,3.925,4.389,True,True,True,True,3.245,0.0,3.245,3.925,4.389,True,True,True,True,3.245,0.0,3.245,3.925,4.389,True,True,True,True,up,False
57,1,random_control,accepted,same-window random duration control,2021-12-27 05:25 EST,2021-12-27 06:20 EST,12,60,11.3,16.1,down,40.0,,,0.0,0.0,0.0,0.602,1.032,False,False,False,False,0.0,0.655,0.655,1.46,2.181,False,False,False,False,0.0,0.735,0.735,1.54,2.181,False,False,False,False,0.0,0.735,0.735,1.54,2.181,False,False,False,False,down,False
57,2,random_control,accepted,same-window random duration control,2021-12-27 06:00 EST,2021-12-27 06:30 EST,7,35,9.0,16.46,down,30.0,,,0.011,0.433,0.433,1.444,1.535,False,False,False,False,0.011,0.922,0.922,1.933,2.133,True,False,False,False,0.011,0.922,0.922,1.933,2.133,True,False,False,False,0.011,0.922,0.922,1.933,2.133,True,False,False,False,down,False
57,3,random_control,accepted,same-window random duration control,2021-12-27 02:55 EST,2021-12-27 03:35 EST,9,45,18.9,17.05,down,10.0,,,0.0,0.672,0.672,0.841,1.627,False,False,False,False,0.0,0.672,0.672,0.841,1.627,False,False,False,False,0.0,0.672,0.672,0.841,1.627,False,False,False,False,0.0,0.672,0.672,1.026,1.845,False,False,False,False,down,False
57,4,random_control,accepted,same-window random duration control,2021-12-27 06:30 EST,2021-12-27 07:20 EST,11,55,16.5,16.04,,,,,0.0,0.055,0.055,0.673,1.294,False,False,False,False,0.0,0.055,0.055,0.891,1.422,False,False,False,False,0.0,0.055,0.055,0.891,1.422,False,False,False,False,0.0,0.055,0.055,1.024,1.422,False,False,False,False,down,False
